method,solution_id,name,team,position,value,forecast,role,is_captain,is_vice_captain
Simple average,Simple average | two_stage | fixed_split | xi_cap=55,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,William Saliba,Arsenal,DEF,5.7,4.0,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=60,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Bukayo Saka,Arsenal,MID,9.1,6.5,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Carlton Morris,Luton,FWD,5.0,4.04,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Conor Bradley,Liverpool,DEF,4.1,2.75,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Declan Rice,Arsenal,MID,5.4,4.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,James Tarkowski,Everton,DEF,4.6,3.1538461538461537,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,4.153846153846154,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,William Saliba,Arsenal,DEF,5.7,4.0,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=60,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Carlton Morris,Luton,FWD,5.0,4.04,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Jarrad Branthwaite,Everton,DEF,4.2,2.923076923076923,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,4.153846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Trent Alexander-Arnold,Liverpool,DEF,8.6,3.9615384615384617,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=65,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Carlton Morris,Luton,FWD,5.0,4.04,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Jarrad Branthwaite,Everton,DEF,4.2,2.923076923076923,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,4.153846153846154,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Trent Alexander-Arnold,Liverpool,DEF,8.6,3.9615384615384617,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=65,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Jarrod Bowen,West Ham,MID,7.7,5.384615384615385,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Julián Álvarez,Man City,FWD,6.7,4.769230769230769,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Trent Alexander-Arnold,Liverpool,DEF,8.6,3.9615384615384617,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=70,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Anthony Gordon,Newcastle,MID,6.1,4.653846153846154,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Jarrod Bowen,West Ham,MID,7.7,5.384615384615385,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Julián Álvarez,Man City,FWD,6.7,4.769230769230769,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Trent Alexander-Arnold,Liverpool,DEF,8.6,3.9615384615384617,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=70,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Jarrod Bowen,West Ham,MID,7.7,5.384615384615385,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Julián Álvarez,Man City,FWD,6.7,4.769230769230769,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Phil Foden,Man City,MID,8.1,5.5,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Trent Alexander-Arnold,Liverpool,DEF,8.6,3.9615384615384617,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=75,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Jarrod Bowen,West Ham,MID,7.7,5.384615384615385,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Julián Álvarez,Man City,FWD,6.7,4.769230769230769,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Pedro Porro,Spurs,DEF,5.8,3.48,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Phil Foden,Man City,MID,8.1,5.5,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Trent Alexander-Arnold,Liverpool,DEF,8.6,3.9615384615384617,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=75,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Carlton Morris,Luton,FWD,5.0,4.04,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Pedro Porro,Spurs,DEF,5.8,3.48,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Phil Foden,Man City,MID,8.1,5.5,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=80,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Cole Palmer,Chelsea,MID,5.8,4.96,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Jarrad Branthwaite,Everton,DEF,4.2,2.923076923076923,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Jordan Pickford,Everton,GK,4.6,3.730769230769231,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Julián Álvarez,Man City,FWD,6.7,4.769230769230769,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Phil Foden,Man City,MID,8.1,5.5,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Vitalii Mykolenko,Everton,DEF,4.6,3.1923076923076925,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=80,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Alphonse Areola,West Ham,GK,4.2,3.3076923076923075,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Amari'i Bell,Luton,DEF,3.9,1.36,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Cameron Archer,Sheffield Utd,FWD,4.3,2.5384615384615383,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Conor Bradley,Liverpool,DEF,4.1,2.75,Bench,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Phil Foden,Man City,MID,8.1,5.5,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Son Heung-min,Spurs,MID,9.6,5.68,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,William Saliba,Arsenal,DEF,5.7,4.0,XI,False,False
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,Đorđe Petrović,Chelsea,GK,4.5,3.8,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Alphonse Areola,West Ham,GK,4.2,3.3076923076923075,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Bukayo Saka,Arsenal,MID,9.1,6.5,XI,False,True
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Cameron Archer,Sheffield Utd,FWD,4.3,2.5384615384615383,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Conor Bradley,Liverpool,DEF,4.1,2.75,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Dominic Solanke,Bournemouth,FWD,7.0,5.12,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,5.0,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.6923076923076925,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Jamaal Lascelles,Newcastle,DEF,4.0,1.7307692307692308,Bench,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Kieran Trippier,Newcastle,DEF,6.9,4.115384615384615,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Mohamed Salah,Liverpool,MID,13.0,6.423076923076923,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Ollie Watkins,Aston Villa,FWD,8.8,6.538461538461538,XI,True,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Phil Foden,Man City,MID,8.1,5.5,XI,False,False
Simple average,Simple average | two_stage | actual_remainder | xi_cap=83.5,Son Heung-min,Spurs,MID,9.6,5.68,XI,False,False
