relative_path,size_bytes,sha256
analysis_outputs/feature_regularization/reviewer1_comments3_4_reference_coefficients.csv,7067,b4a6bb8127ee3170fe84be21f71331ed735475837a997986b045d63682f2b657
analysis_outputs/feature_regularization/reviewer1_comments3_4_rosters.csv,4901,988afe0f289d82330166f2f96765b9380d4e564a781ca4074ac09a8e7dcbe5ef
analysis_outputs/feature_regularization/reviewer1_comments3_4_weekly_scores.csv,53969,cd05e271fdc00581f132b29ae719ae0e5693f6e793ee7c6f8656fef99110d509
analysis_outputs/full_internal_raw_recomputation/RUN_COMPLETED_SUCCESSFULLY.txt,61,9d4b70cfd6a5da933d1c8b783c12bec75885e5d99fc4f3036ee37456fb3ef9b0
analysis_outputs/full_internal_raw_recomputation/full_internal_cost_vectors.csv,4811371,a0cb088aa94dca2336fe393def0eec7cd91f2b5cb4e51044f2493f87b3c5552b
analysis_outputs/full_internal_raw_recomputation/full_internal_rosters.csv,122603,d1e0bf60852b5028ac702a5674f0b80c7070331f34f1c4963d53741e2d2b648c
analysis_outputs/full_internal_raw_recomputation/full_internal_score_matrix.csv,8531,1265fa545b03b4379daa05adee6c6be57c59a0f57b4418a133fffc10e31d3e4a
analysis_outputs/full_internal_raw_recomputation/full_internal_series_provenance.csv,13073,305ab422f7c519cac899f7c4ef33d96550b6666c90e1267ff35a9f892b6f54d4
analysis_outputs/full_internal_raw_recomputation/full_internal_static_weekly_scores_long.csv,69209,e37795fdf32a273e0502b74aa9dd06282d05573b1e588a8bf5d24b5c148c4206
analysis_outputs/full_internal_raw_recomputation/independent_controlled_crosscheck.csv,221,5f66a70ee6c435e7b344220c64e897dcb886cd34b6a9e24bcfa44347b49603a3
analysis_outputs/full_internal_raw_recomputation/run_config.json,1017,d7a9489748d6195956a9c55ccfdaca9ef17da0d8d1c48294362446d140a7ed0d
analysis_outputs/roster_design/reviewer1_comment1_policy_audit.csv,20002,a87c7d3e931093c6808e293a64ab6cad4f72b24d28a80e4a0c3d2efbbef0cf3b
analysis_outputs/roster_design/reviewer1_comment2_design_results.csv,24498,7570383cca1d95ae548fe525cdd498598a932339051be2f9bb79b91d8b8559aa
analysis_outputs/roster_design/reviewer1_comment2_main_comparison.csv,11371,07685e081bdf74c4709f6f6761622624db5120c58e6066c737f7697e4d57339e
analysis_outputs/roster_design/reviewer1_comment2_pareto_frontier.csv,5006,71ddbf606a9536a4b41a47f9bdb8c9a977271afef4d9277763962c1532b347fa
analysis_outputs/roster_design/reviewer1_comment2_rosters.csv,202262,0c92ebaad69f0169181f5038cfd377aedea8442e7577830fe07c83d3b851d333
analysis_outputs/roster_design/reviewer1_comment2_summary.csv,56841,5f31ddeb154398f8fee7b70f144c09e1b243f7938b068f93c9ff98b57a722241
analysis_outputs/roster_design/reviewer1_comment2_weekly_scores.csv,1584965,00dbcd2ed77b6b7807106aeae09562a201d411060ef7c449e492cec9adbf1748
analysis_outputs/roster_design/reviewer1_comment5_availability_comparison.csv,2116,21fa2649ac962f4c209e3bda39ec60cbe941df96af1e6c9240b638e59ca96f3e
analysis_outputs/roster_design/reviewer1_comment5_availability_rosters.csv,31938,46a415efcd4c177ab903a86a93c9a8e8e606da6310062ea147b80cdefbd7aff2
analysis_outputs/roster_design/run_config.json,935,d63445ead54c0088cff791a159526ecc2ac9306af0bd3bb6b5e1d7100973f1d1
figure_manifest.csv,7212,f0df89f55ebb1f491fa833b1cbc38e832f19b5a809a6b314615832bef28fab62
main_figures/fig01_framework.pdf,21075,6a8569d73ad856b019a7c0def5723a26a1162e35b9e70b99df52ba1a032d6675
main_figures/fig02_feature_regularization_evidence.pdf,35449,8819f9d9663f36ef65316ff0d32b522a3d7d082ef1b5181f20d88360c5905afe
main_figures/fig03_primary_model_performance.pdf,19668,3e51fdc33a686b432f7954f26acec4a9baf848573d75d23ca249138fbc4974aa
main_figures/fig04_budget_policy_sensitivity.pdf,16304,a4238842eca9fca7828f3ebd6d5aad3fa0128240e8a8515b8cfc213bc3af8cb0
main_figures/fig05_pareto_frontier.pdf,27681,a6959b9bc3979f520fdbb786cdee35fed17272595d6f68ad4acdceb2a1ce1152
main_figures/fig06_external_benchmark.pdf,22453,693e32b904401c8deae24dfcbb3b3be4cd5dbf186aa2bede2e2ba39028f71b0b
main_figures/fig07_availability_sensitivity.pdf,24352,001b20b24298d6ebb7aea3669567da2f5a6b19e971bda07dcb8b53668acf0aaa
results/RUN_COMPLETED_SUCCESSFULLY.txt,61,9d4b70cfd6a5da933d1c8b783c12bec75885e5d99fc4f3036ee37456fb3ef9b0
results/all_raw_recomputed_rosters.csv,122603,d1e0bf60852b5028ac702a5674f0b80c7070331f34f1c4963d53741e2d2b648c
results/availability_rosters.csv,31938,46a415efcd4c177ab903a86a93c9a8e8e606da6310062ea147b80cdefbd7aff2
results/cost_vector_stability.csv,982,cd468e73ff3e2261b9cd53fca858b10932c5bbb68f75f06616b2ffd3d36b4365
results/external_benchmark_provenance.csv,668,c8fc4d4cf273a0682325ffa503b930ab73c4abf3dcb01eebf2396cdbd9261dce
results/full_internal_cost_vectors.csv,4811371,a0cb088aa94dca2336fe393def0eec7cd91f2b5cb4e51044f2493f87b3c5552b
results/full_internal_run_config.json,1017,d7a9489748d6195956a9c55ccfdaca9ef17da0d8d1c48294362446d140a7ed0d
results/full_internal_score_matrix.csv,8531,1265fa545b03b4379daa05adee6c6be57c59a0f57b4418a133fffc10e31d3e4a
results/full_internal_series_provenance.csv,13073,305ab422f7c519cac899f7c4ef33d96550b6666c90e1267ff35a9f892b6f54d4
results/full_internal_static_weekly_scores_long.csv,69209,e37795fdf32a273e0502b74aa9dd06282d05573b1e588a8bf5d24b5c148c4206
results/independent_controlled_crosscheck.csv,221,5f66a70ee6c435e7b344220c64e897dcb886cd34b6a9e24bcfa44347b49603a3
results/joint_design_rosters.csv,202262,0c92ebaad69f0169181f5038cfd377aedea8442e7577830fe07c83d3b851d333
results/joint_design_weekly_scores.csv,1584965,00dbcd2ed77b6b7807106aeae09562a201d411060ef7c449e492cec9adbf1748
results/lasso_feature_selection.csv,2170,8dddafc2bbbd464635a2f82ce0eda89c0d45ab1231e7b10fe035a1a34c5271c0
results/pareto_frontier.csv,5006,71ddbf606a9536a4b41a47f9bdb8c9a977271afef4d9277763962c1532b347fa
results/primary_model_weekly_scores.csv,8159,bb42f964a71963fb5c3ce8c0ecd1978ba04ad87c29b28513152e479b16c345f5
results/raw_recomputed_figure_score_matrix.csv,8749,7e6b327fd159ce56612b0836fed0b3c7c2ef0ad0a17cb1ff5e601c61b856e344
results/raw_recomputed_static_forecasting_screen.csv,6610,2c3e2e7c4e9e16d89d694e0e2968efea0f6d3da483110b624e04f48192f020b9
results/raw_recomputed_static_forecasting_screen_cumulative.csv,7426,f3760b41c6c89210831e5fb0335f16c1902ac10024c08628f9d7b28e1b786e4a
results/regularization_rosters.csv,4901,988afe0f289d82330166f2f96765b9380d4e564a781ca4074ac09a8e7dcbe5ef
results/regularization_weekly_scores.csv,53969,cd05e271fdc00581f132b29ae719ae0e5693f6e793ee7c6f8656fef99110d509
results/terminology_mapping.csv,4312,e6a8cd348c541cdafb80064d4e66930e920a4f5a3f335b53c1440bba94c60d55
run_config.json,1075,227d7786d19035c0eebc9ebc2aa9b90b4fe9a7ddf84661aaf3ea0dfe63b9c3ce
supplementary_figures/figS01_position_correlations.pdf,19550,db520795edb06d6aea46fabf26a2d7d10987809b920c3bfce71b77a3fe7fa633
supplementary_figures/figS02_feature_correlation_heatmap.pdf,36279,4327c3f2b04e9249e6cf3f9cd5d5097a6972310dd86bb5ff27d9497e518fdca6
supplementary_figures/figS03_feature_distributions.pdf,141951,1aaa8811b9da3fc55f0a63f9d365377b72bcada809c3a79582ce78d0e26e91ff
supplementary_figures/figS04a_shap_goalkeepers.pdf,52531,e8ff9411ce09d2c08412b21e855931d79443247e73cf1e7366bb5ed3bce08731
supplementary_figures/figS04b_shap_defenders.pdf,56199,e3a684dc796f7bb938324ef49863aa5fe64ccc4d95a1665aec1ee2c59763bae3
supplementary_figures/figS04c_shap_midfielders.pdf,57495,4494d4ae74ff7d6ec4c8a6f4df4818077249c6097dc04660a6d65356b2f4d6a7
supplementary_figures/figS04d_shap_forwards.pdf,52235,6e0ddba3fbe7fca93d77c17e0ad9ceaec8abffc532521de9c11074a4f82a17b1
supplementary_figures/figS05_method_similarity.pdf,44413,59666578e71157628255b96b7fdd3319c9fc38d40eb4fc9d242ce41e33fa4dc3
supplementary_figures/figS06a_averaging_robust.pdf,15447,1b3b719f2e21c82b209fd981d7545850dddd6bbbc248ae87eb6514fe41385fe6
supplementary_figures/figS06b_simulation.pdf,12644,68eefffdfd13c6b90c006ceb94ca2caa319c16b13ebee01b0f955a7d7a383c4c
supplementary_figures/figS07_arima_variants.pdf,16625,602d81aa563f52438ea674d6d92834c5c47fe31ff3088f56df0fa061a4e20392
supplementary_figures/figS08_alternative_objectives.pdf,12515,09c7b61976fbb39fecd807b9788307cf77386448dc6033db1cbd40ba06351f92
supplementary_figures/figS09a_hybrid_averaging.pdf,17069,7d6c77b70d399b0a89008e96b59d0d1d49aebfe76a9d75c71cbfa9739d94f224
supplementary_figures/figS09b_hybrid_simulation.pdf,14287,73850ddd1142860bc2b822e300c123a82f577a0ef3cd7cc59b5a02dfbfbadc86
supplementary_figures/figS10a_hybrid_arima.pdf,12975,bc7438ab9cbfcc3cc91b67201e6e782d46a1db5e72a59262740998b20682a44a
supplementary_figures/figS10b_hybrid_ict_linear.pdf,14362,dfd86fbc0ce5ea057ded465e1271bded78febb84af66368e01af35045560444d
supplementary_figures/figS11_simple_budget_ranks.pdf,13892,125ac6be2172afe6422412a955fd32534667982a9386dd9f241fcbbe165a1d94
supplementary_figures/figS12_weighted_budget_ranks.pdf,13261,8d97b0864a7f730bf9fdf40e5a6ef226c565e465b945dca8ce35b36966c298ba
supplementary_figures/figS13_arima100_sequential_budget_ranks.pdf,15676,d8e78a2c05c56c6429bdc1db8432154f241f967de7f8322255e3499abc77d2c2
supplementary_figures/figS14_arima101_sequential_budget_ranks.pdf,15660,52b0c0acceb83c6d094c3c3846cf2828f2da56a1dd1b337ebb21921bb8b99f64
supplementary_figures/figS15_arima001_budget_sensitivity.pdf,11813,a4b27487eaa2d6d183db162d63d606fae5dd3639a14afeb2342e05734d671dca
supplementary_figures/figS16_arima100_budget_sensitivity.pdf,11938,bcadc9702b44bd48cdde2de683da373ba8d8ec9d27916c59cca579cfe231e800
supplementary_figures/figS17_arima101_budget_sensitivity.pdf,11946,58b24a0e825c7ef8c920355f0abec00f5b3e65931d13114958600236f8ec2386
supplementary_figures/figS18_ict_budget_sensitivity.pdf,11653,c4b7fee12c2bced993f9850ee10df55a6980d6a21e85ec044369baaade3d5add
supplementary_figures/figS19_hybrid_ict_budget_sensitivity.pdf,11795,a8572a30e21baf407b3f55bfe0823770f60f29dee0a8889bb79f96bb3420d2d7
supplementary_figures/figS20_monte_carlo_budget_sensitivity.pdf,11950,cde90386bef720a02073526b7b2a3ee58437ff95a3c616b01409cc7d816ba97f
supplementary_figures/figS21_simple_sequential_budget_sensitivity.pdf,11868,e58b3c03bf9bdce2237f2553caa75683bef8f9964fda09e82fce08c749274cd1
supplementary_figures/figS22_weighted_sequential_budget_sensitivity.pdf,11874,71e7b66f22ea80aa2d83d37067af64e4c74fb705fdd83bcca94e2d552b5c52b8
supplementary_figures/figS23_arima001_sequential_budget_sensitivity.pdf,11876,49294f1af44d5a355bf5281b6f950c4dfb8647952fc5d8aeb9484a8ae5a736da
supplementary_figures/figS24_family_best_cumulative.pdf,14937,fd3cf62dca0a8b9b03abe8300faf8232869548f7ac97ba06edc5603136adb2cb
supplementary_figures/figS25_family_uplift.pdf,59356,81285b67cb3af7faee03ffc179ed462e5012e0052120f70453e9d876cddd6410
supplementary_figures/figS26_top10_weekly_distributions.pdf,37126,b9c775d1248e4eba2dc1797cba0425283773dc2575b3a0beb55ac2531430917c
supplementary_figures/figS27_fixed_split_external_benchmark.pdf,21147,aed757d182e20ee52fedb5b5218b37be9eb4d468959b2a20fe115bc913411dfb
tables/gameweek27_rosters_raw_recomputed.csv,6207,7a6c4c525156888d9a5e6841fc4015851245125021b76347ed884e40d902fd07
tables/raw_recomputed_static_method_totals_and_ranks.csv,4976,a5a95263ed45eacadaa23e4add4ba3089b3cbc262f8b35ab93a6d33b4fd1eb9a
tables/table01_joint_design_comparison.csv,11371,07685e081bdf74c4709f6f6761622624db5120c58e6066c737f7697e4d57339e
tables/table_all_internal_series_raw_recomputed_totals.csv,5636,1744573c70d15e0fd4a5a6b99270488059cacccb4e4cbcda306f994f4f9319a9
tables/table_availability_comparison.csv,2116,21fa2649ac962f4c209e3bda39ec60cbe941df96af1e6c9240b638e59ca96f3e
tables/table_main_primary_model_comparison.csv,1179,690228a3dec90f4e14aabe73dcb50f47bd8a18534de569a9ef6c16509dfe9a9e
tables/table_policy_audit.csv,20002,a87c7d3e931093c6808e293a64ab6cad4f72b24d28a80e4a0c3d2efbbef0cf3b
tables/table_regularization_comparison.csv,1641,ae3e1b83785330b9ecc3c52c2aeb1b4ff296efa7a52f3b9b2908debdb3a0cd8a
tables/table_regularization_policy_audit.csv,508,34a6104ba57bf5e33aa3a347193cb68a39f1bdd6157b5f2105448126e707fbee
